Ссылки,Код каспи,Код 1C,Наименование,Бренд,Поставщик,Продавец_1,Цена_1,Продавец_2,Цена_2,Продавец_3,Цена_3,Продавец_4,Цена_4,Продавец_5,Цена_5
https://kaspi.kz/shop/p/denzel-svarochnyi-invertor-sdm-160-top-mma--109599358/?c=710000000,109599358,УТ-00001913,DENZEL сварочный инвертор SDM-160 Top (MMA),Denzel,Мир инструмента-Алматы в г. Караганда ТОО,Ravelin,35620.0,ХОЗЯИН,36270.0,GMARKET KZ,38688.0,МИР-инструментов,38690.0,Qural-Saiman,38690.0
https://kaspi.kz/shop/p/denzel-svarochnyi-invertor-sdm-180-top-mma--109599361/?c=710000000,109599361,УТ-00001914,DENZEL сварочный инвертор SDM-180 Top (MMA),Denzel,Мир инструмента-Алматы в г. Караганда ТОО,"ТОО ""EVROLIDER 23""",40232.0,Ravelin,42349.0,МИР-инструментов,46000.0,ХОЗЯИН,46000.0,GMARKET KZ,46000.0
https://kaspi.kz/shop/p/denzel-svarochnyi-invertor-sdm-200-top-mma--109599353/?c=710000000,109599353,УТ-00001915,DENZEL сварочный инвертор SDM-200 Top (MMA),Denzel,Мир инструмента-Алматы в г. Караганда ТОО,STROYMANIA,57650.0,Комфорт,57650.0,МИР-инструментов,62620.0,ХОЗЯИН,62620.0,GMARKET KZ,62620.0
https://kaspi.kz/shop/p/denzel-svarochnyi-invertor-sdm-220-top-mma--109599369/?c=710000000,109599369,УТ-00001917,DENZEL сварочный инвертор SDM-220 Top (MMA),Denzel,Мир инструмента-Алматы в г. Караганда ТОО,МИР-инструментов,69810.0,ХОЗЯИН,69810.0,GMARKET KZ,69810.0,Торговый дом ТИЫН,69810.0,ВсеИнструменты KZ,69810.0
https://kaspi.kz/shop/p/denzel-svarochnyi-invertor-mini-mig-140fg-94322-mig-mag-mma--108613323/?c=710000000,108613323,УТ-00001908,"DENZEL сварочный инвертор Mini MIG-140FG (94322) (MIG/MAG, MMA)",Denzel,Мир инструмента-Алматы в г. Караганда ТОО,STROYMANIA,72780.0,МИР-инструментов,72780.0,ХОЗЯИН,79060.0,GMARKET KZ,79060.0,Qural-Saiman,79060.0
https://kaspi.kz/shop/p/denzel-ib-12-2-0-28431-102576906/?c=710000000,102576906,00000063779,DENZEL IB-12-2.0 28431,Denzel,Мир инструмента-Алматы в г. Караганда ТОО,МИР-инструментов,8810.0,ХОЗЯИН,8810.0,GMARKET KZ,8810.0,Qural-Saiman,8810.0,Торговый дом ТИЫН,8810.0
https://kaspi.kz/shop/p/denzel-ib-14-2-0-28432-li-ion-2-ah-1-sht-102579388/?c=710000000,102579388,00000063780,DENZEL IB-14-2.0 28432 Li-Ion 2 Ah 1 шт,Denzel,Мир инструмента-Алматы в г. Караганда ТОО,ХОЗЯИН,11645.0,GMARKET KZ,12422.0,TaranTool,12484.0,Торговый дом ТИЫН,13730.0,МИР-инструментов,14910.0
https://kaspi.kz/shop/p/denzel-ib-18-4-0-28434-102579931/?c=710000000,102579931,00000063782,DENZEL IB-18-4.0 28434,Denzel,Мир инструмента-Алматы в г. Караганда ТОО,МИР-инструментов,27800.0,Сеть магазинов TSSP,27800.0,ХОЗЯИН,27800.0,GMARKET KZ,27800.0,Qural-Saiman,27800.0
https://kaspi.kz/shop/p/denzel-97652-102840919/?c=710000000,102840919,00000063941,DENZEL 97652,Denzel,Мир инструмента-Алматы в г. Караганда ТОО,ТОО AI-TOOLS,306900.0,Папа-Карло,335628.0,ХОЗЯИН,335630.0,GMARKET KZ,335630.0,Ozturk,335630.0
https://kaspi.kz/shop/p/denzel-sb-560-97651-102754337/?c=710000000,102754337,00000063940,DENZEL SB 560 97651,Denzel,Мир инструмента-Алматы в г. Караганда ТОО,ТОО AI-TOOLS,259700.0,"ТОО ""EVROLIDER 23""",259740.0,Ozturk,260000.0,МИР-инструментов,284000.0,ХОЗЯИН,284000.0
https://kaspi.kz/shop/p/denzel-sbm-610-102840918/?c=710000000,102840918,00000063942,DENZEL SBM 610,Denzel,Мир инструмента-Алматы в г. Караганда ТОО,МИР-инструментов,384680.0,ХОЗЯИН,384680.0,GMARKET KZ,384680.0,Ozturk,384680.0,Qural-Saiman,384680.0
https://kaspi.kz/shop/p/denzel-b-125-55600012/?c=710000000,55600012,00000014293,Denzel B-125,Denzel,Мир инструмента-Алматы в г. Караганда ТОО,Q-SAIMAN,109900.0,Алтын Орда Строймаркет,120000.0,Ravelin,121700.0,Ozturk,127330.0,МегаВАТТ,127330.0
https://kaspi.kz/shop/p/denzel-b-160-55600009/?c=710000000,55600009,00000014294,Denzel B-160,Denzel,Мир инструмента-Алматы в г. Караганда ТОО,ХОЗЯИН,166740.0,titool_makita,166740.0,Курал-М,166740.0,Qural-Saiman,166740.0,Торговый дом ТИЫН,166740.0
https://kaspi.kz/shop/p/denzel-b-180-55600010/?c=710000000,55600010,00000014295,Denzel B-180,Denzel,Мир инструмента-Алматы в г. Караганда ТОО,Папа-Карло,161868.0,МегаВАТТ,161870.0,МИР-инструментов,173020.0,ХОЗЯИН,173020.0,titool_makita,173020.0
https://kaspi.kz/shop/p/denzel-b-200-55600011/?c=710000000,55600011,00000014296,Denzel B-200,Denzel,Мир инструмента-Алматы в г. Караганда ТОО,Папа-Карло,175498.0,Eurostroy Assortment,175500.0,МегаВАТТ,175800.0,МИР-инструментов,180790.0,ХОЗЯИН,180790.0
https://kaspi.kz/shop/p/denzel-energomatic-ps-115-946714-220-v-25-a-10-kvt-103509443/?c=710000000,103509443,00000014039,DENZEL Energomatic PS 115 (946714) 220 В\25 А\10 кВт,Denzel,Мир инструмента-Алматы в г. Караганда ТОО,МИР-инструментов,83850.0,ХОЗЯИН,83850.0,GMARKET KZ,83850.0,Qural-Saiman,83850.0,Торговый дом ТИЫН,83850.0
https://kaspi.kz/shop/p/denzel-ruchnoi-78531-300-mm-106375293/?c=710000000,106375293,УТ-00001864,DENZEL ручной 78531 300 мм,Denzel,Мир инструмента-Алматы в г. Караганда ТОО,ХОЗЯИН,5398.0,GMARKET KZ,5758.0,TaranTool,5787.0,Торговый дом ТИЫН,6160.0,Qural-Saiman,6192.0
https://kaspi.kz/shop/p/denzel-ruchnoi-78533-350-mm-106375291/?c=710000000,106375291,УТ-00001865,DENZEL ручной 78533 350 мм,Denzel,Мир инструмента-Алматы в г. Караганда ТОО,МИР-инструментов,7790.0,ХОЗЯИН,7790.0,GMARKET KZ,7790.0,Qural-Saiman,7790.0,Торговый дом ТИЫН,7790.0
https://kaspi.kz/shop/p/denzel-ruchnoi-78534-450-mm-104679641/?c=710000000,104679641,УТ-00001866,DENZEL ручной 78534 450 мм,Denzel,Мир инструмента-Алматы в г. Караганда ТОО,All Stroy,10380.0,МИР-инструментов,10380.0,ХОЗЯИН,10380.0,GMARKET KZ,10380.0,Qural-Saiman,10380.0
https://kaspi.kz/shop/p/denzel-ruchnoi-78536-600-mm-104679668/?c=710000000,104679668,УТ-00001867,DENZEL ручной 78536 600 мм,Denzel,Мир инструмента-Алматы в г. Караганда ТОО,Kiturami Казахстан,14370.0,МИР-инструментов,14370.0,ХОЗЯИН,14370.0,GMARKET KZ,14370.0,Qural-Saiman,14370.0
https://kaspi.kz/shop/p/denzel-ruchnoi-78538-760-mm-104679646/?c=710000000,104679646,УТ-00001868,DENZEL ручной 78538 760 мм,Denzel,Мир инструмента-Алматы в г. Караганда ТОО,МИР-инструментов,19800.0,ХОЗЯИН,19800.0,GMARKET KZ,19800.0,Qural-Saiman,19800.0,Торговый дом ТИЫН,19800.0
https://kaspi.kz/shop/p/denzel-ruchnoi-78500-225-mm-106393062/?c=710000000,106393062,УТ-00001863,DENZEL ручной 78500 225 мм,Denzel,Мир инструмента-Алматы в г. Караганда ТОО,Qural-Saiman,3469.0,ХОЗЯИН,3605.0,GMARKET KZ,3846.0,TaranTool,3865.0,Проф Инструмент,3960.0
https://kaspi.kz/shop/p/denzel-bur-705019-sds-plus-10h250h310-mm-1-sht-103536864/?c=710000000,103536864,00000063835,"DENZEL бур 705019 (SDS-plus, 10х250х310 мм) 1 шт",Denzel,Мир инструмента-Алматы в г. Караганда ТОО,ХОЗЯИН,882.0,GMARKET KZ,941.0,AVTO-PARADISE,1350.0,Qural-Saiman,1983.0,Торговый дом ТИЫН,2000.0
https://kaspi.kz/shop/p/denzel-bur-705035-sds-plus-14h540h600-mm-1-sht-103536868/?c=710000000,103536868,УТ-00001835,"DENZEL бур 705035 (SDS-plus, 14х540х600 мм) 1 шт",Denzel,Мир инструмента-Алматы в г. Караганда ТОО,Проф Инструмент,2450.0,ХОЗЯИН,2544.0,GMARKET KZ,2714.0,Qural-Saiman,2759.0,AVTO-PARADISE,4500.0
https://kaspi.kz/shop/p/denzel-bur-705036-sds-plus-16h110h160-mm-1-sht-109751118/?c=710000000,109751118,00000063836,"DENZEL бур 705036 (SDS-plus, 16х110х160 мм) 1 шт",Denzel,Мир инструмента-Алматы в г. Караганда ТОО,ХОЗЯИН,1036.0,GMARKET KZ,1106.0,Qural-Saiman,2135.0,,,,
https://kaspi.kz/shop/p/denzel-bur-705039-sds-plus-16h250h310-mm-1-sht-103536871/?c=710000000,103536871,00000063837,"DENZEL бур 705039 (SDS-plus, 16х250х310 мм) 1 шт",Denzel,Мир инструмента-Алматы в г. Караганда ТОО,Qural-Saiman,1358.0,ХОЗЯИН,1423.0,GMARKET KZ,1518.0,Торговый дом ТИЫН,2000.0,,
https://kaspi.kz/shop/p/denzel-bur-705049-sds-plus-20h400h460-mm-1-sht-103536875/?c=710000000,103536875,УТ-00001841,"DENZEL бур 705049 (SDS-plus, 20х400х460 мм) 1 шт",Denzel,Мир инструмента-Алматы в г. Караганда ТОО,ХОЗЯИН,3209.0,GMARKET KZ,3423.0,Qural-Saiman,3480.0,Торговый дом ТИЫН,4811.0,AVTO-PARADISE,5250.0
https://kaspi.kz/shop/p/denzel-bur-705050-sds-plus-20h540h600-mm-1-sht-103536876/?c=710000000,103536876,УТ-00001842,"DENZEL бур 705050 (SDS-plus, 20х540х600 мм) 1 шт",Denzel,Мир инструмента-Алматы в г. Караганда ТОО,GMARKET KZ,4786.0,Qural-Saiman,4866.0,Торговый дом ТИЫН,6728.0,,,,
https://kaspi.kz/shop/p/denzel-bur-705012-sds-plus-8h110h160-mm-1-sht-103536886/?c=710000000,103536886,00000063834,"DENZEL бур 705012 (SDS-plus, 8х110х160 мм) 1 шт",Denzel,Мир инструмента-Алматы в г. Караганда ТОО,ХОЗЯИН,502.0,GMARKET KZ,536.0,Qural-Saiman,558.0,Торговый дом ТИЫН,2000.0,,
https://kaspi.kz/shop/p/nabor-denzel-97283-7-m-103591950/?c=710000000,103591950,00000014503,Набор DENZEL 97283 7 м,Denzel,Мир инструмента-Алматы в г. Караганда ТОО,Строймаркет ALTOR,11630.0,ХОЗЯИН,11631.0,Qural-Saiman,12223.0,,,,
https://kaspi.kz/shop/p/denzel-gazovaja-ghg-30-30000-kvt-104109545/?c=710000000,104109545,00000063934,DENZEL газовая GHG-30 30000 кВт,Denzel,Мир инструмента-Алматы в г. Караганда ТОО,Строймаркет ALTOR,44865.0,Eurostroy Assortment,48399.0,ТОО AI-TOOLS,49150.0,ЭЛЕКТРО,52920.0,МИР-инструментов,53390.0
https://kaspi.kz/shop/p/denzel-gld-420-58805-101420702/?c=710000000,101420702,00000063826,DENZEL GLD-420 58805,Denzel,Мир инструмента-Алматы в г. Караганда ТОО,Ozturk,112100.0,ХОЗЯИН,122580.0,Qural-Saiman,122580.0,Проф Инструмент,122580.0,,
https://kaspi.kz/shop/p/denzel-gld-460-100109953/?c=710000000,100109953,00000014047,DENZEL GLD-460,Denzel,Мир инструмента-Алматы в г. Караганда ТОО,МИР-инструментов,148390.0,ХОЗЯИН,148390.0,Ozturk,148390.0,Qural-Saiman,148390.0,Торговый дом ТИЫН,148390.0
https://kaspi.kz/shop/p/denzel-gld-460sp-100109975/?c=710000000,100109975,00000014048,Denzel GLD-460SP,Denzel,Мир инструмента-Алматы в г. Караганда ТОО,Ozturk,147520.0,МИР-инструментов,161300.0,ХОЗЯИН,161300.0,Qural-Saiman,161300.0,Торговый дом ТИЫН,161300.0
https://kaspi.kz/shop/p/denzel-gld-520sp-bs-58807-101420791/?c=710000000,101420791,00000063828,DENZEL GLD-520SP-BS 58807,Denzel,Мир инструмента-Алматы в г. Караганда ТОО,Ozturk,271490.0,ХОЗЯИН,296840.0,Qural-Saiman,296840.0,,,,
https://kaspi.kz/shop/p/denzel-gld-520sp-ve-58806-101585560/?c=710000000,101585560,00000063827,DENZEL GLD-520SP-VE 58806,Denzel,Мир инструмента-Алматы в г. Караганда ТОО,Ozturk,265580.0,МИР-инструментов,290390.0,ХОЗЯИН,290390.0,GMARKET KZ,290390.0,Qural-Saiman,290390.0
https://kaspi.kz/shop/p/denzel-gld-520sp-100109929/?c=710000000,100109929,00000014049,Denzel GLD-520SP,Denzel,Мир инструмента-Алматы в г. Караганда ТОО,Строймаркет ALTOR,177535.0,МИР-инструментов,212930.0,ХОЗЯИН,212930.0,Ozturk,212930.0,Qural-Saiman,212930.0
https://kaspi.kz/shop/p/elektrostantsija-benzinovaja-denzel-ge8900-17900244/?c=710000000,17900244,00000013997,Электростанция бензиновая DENZEL GE8900,Denzel,Мир инструмента-Алматы в г. Караганда ТОО,Ozturk,294160.0,МИР-инструментов,319520.0,ХОЗЯИН,319520.0,Qural-Saiman,319520.0,Торговый дом ТИЫН,319520.0
https://kaspi.kz/shop/p/elektrostantsija-benzinovaja-denzel-ps-55-ea-946874-17900279/?c=710000000,17900279,00000014016,Электростанция бензиновая DENZEL PS 55 EA 946874,Denzel,Мир инструмента-Алматы в г. Караганда ТОО,Алтын Орда Строймаркет,313500.0,МИР-инструментов,313700.0,ХОЗЯИН,313700.0,Qural-Saiman,313700.0,ВсеИнструменты KZ,313700.0
https://kaspi.kz/shop/p/elektrostantsija-benzinovaja-denzel-ps-80-ea-946924-17900281/?c=710000000,17900281,00000014018,Электростанция бензиновая DENZEL PS 80 EA 946924,Denzel,Мир инструмента-Алматы в г. Караганда ТОО,Ozturk,351180.0,ХОЗЯИН,381460.0,GMARKET KZ,381460.0,Almaz_,381460.0,Qural-Saiman,381460.0
https://kaspi.kz/shop/p/elektrostantsija-benzinovaja-denzel-ps-33e-94537-104343533/?c=710000000,104343533,00000063902,Электростанция бензиновая DENZEL PS-33E 94537,Denzel,Мир инструмента-Алматы в г. Караганда ТОО,Папа-Карло,174210.0,МИР-инструментов,174210.0,ХОЗЯИН,174210.0,Ozturk,174210.0,Qural-Saiman,174210.0
https://kaspi.kz/shop/p/elektrostantsija-dizel-naja-denzel-dd6300e-17900246/?c=710000000,17900246,00000014026,Электростанция дизельная DENZEL DD6300Е,Denzel,Мир инструмента-Алматы в г. Караганда ТОО,Крепыж,413580.0,МИР-инструментов,413580.0,ХОЗЯИН,413580.0,GMARKET KZ,413580.0,Ozturk,413580.0
https://kaspi.kz/shop/p/denzel-almaznyi-73043-115x22-2-mm-109380862/?c=710000000,109380862,УТ-00001847,DENZEL алмазный 73043 115x22.2 мм,Denzel,Мир инструмента-Алматы в г. Караганда ТОО,ХОЗЯИН,3057.0,Qural-Saiman,3139.0,,,,,,
https://kaspi.kz/shop/p/denzel-almaznyi-73055-230x22-2-mm-108546604/?c=710000000,108546604,УТ-00001849,DENZEL алмазный 73055 230x22.2 мм,Denzel,Мир инструмента-Алматы в г. Караганда ТОО,ХОЗЯИН,9037.0,Qural-Saiman,10302.0,GMARKET KZ,14460.0,,,,
https://kaspi.kz/shop/p/denzel-almaznyi-73074-230x22-2-mm-108546609/?c=710000000,108546609,УТ-00001851,DENZEL алмазный 73074 230x22.2 мм,Denzel,Мир инструмента-Алматы в г. Караганда ТОО,ХОЗЯИН,9210.0,Qural-Saiman,10458.0,AVTO-PARADISE,13700.0,,,,
https://kaspi.kz/shop/p/denzel-73100-115h22-2-mm-100319334/?c=710000000,100319334,00000019698,DENZEL 73100 115х22.2 мм,Denzel,Мир инструмента-Алматы в г. Караганда ТОО,ХОЗЯИН,1050.0,Qural-Saiman,1255.0,,,,,,
https://kaspi.kz/shop/p/denzel-73118-115h22-2-mm-100314841/?c=710000000,100314841,00000019708,DENZEL 73118 115х22.2 мм,Denzel,Мир инструмента-Алматы в г. Караганда ТОО,ХОЗЯИН,975.0,GMARKET KZ,1040.0,Торговый дом ТИЫН,2000.0,Qural-Saiman,2709.0,,
https://kaspi.kz/shop/p/denzel-73106-115h22-2-mm-100320908/?c=710000000,100320908,00000019703,DENZEL 73106 115х22.2 мм,Denzel,Мир инструмента-Алматы в г. Караганда ТОО,ХОЗЯИН,1206.0,GMARKET KZ,1287.0,Qural-Saiman,1319.0,Торговый дом ТИЫН,2000.0,,
https://kaspi.kz/shop/p/denzel-73101-125h22-2-mm-100320854/?c=710000000,100320854,00000019699,DENZEL 73101 125х22.2 мм,Denzel,Мир инструмента-Алматы в г. Караганда ТОО,Qural-Saiman,1491.0,ХОЗЯИН,1541.0,GMARKET KZ,1644.0,Сеть магазинов TSSP,1900.0,Торговый дом ТИЫН,2000.0
https://kaspi.kz/shop/p/denzel-73126-150h22-2-mm-100320567/?c=710000000,100320567,00000019712,DENZEL 73126 150х22.2 мм,Denzel,Мир инструмента-Алматы в г. Караганда ТОО,Qural-Saiman,1821.0,ХОЗЯИН,1881.0,GMARKET KZ,2007.0,Торговый дом ТИЫН,3328.0,,
https://kaspi.kz/shop/p/denzel-73110-150h22-2-mm-100314891/?c=710000000,100314891,00000019705,DENZEL 73110 150х22.2 мм,Denzel,Мир инструмента-Алматы в г. Караганда ТОО,GMARKET KZ,2440.0,Торговый дом ТИЫН,2610.0,Qural-Saiman,4046.0,,,,
https://kaspi.kz/shop/p/denzel-73130-180h22-2-mm-100314849/?c=710000000,100314849,00000019714,DENZEL 73130 180х22.2 мм,Denzel,Мир инструмента-Алматы в г. Караганда ТОО,Qural-Saiman,2055.0,ХОЗЯИН,2056.0,,,,,,
https://kaspi.kz/shop/p/denzel-73104-230h22-2-mm-100314838/?c=710000000,100314838,00000019702,DENZEL 73104 230х22.2 мм,Denzel,Мир инструмента-Алматы в г. Караганда ТОО,ХОЗЯИН,5514.0,GMARKET KZ,5882.0,TaranTool,5911.0,Сеть магазинов TSSP,6785.0,Qural-Saiman,8073.0
https://kaspi.kz/shop/p/denzel-73132-230h22-2-mm-100314878/?c=710000000,100314878,00000019715,DENZEL 73132 230х22.2 мм,Denzel,Мир инструмента-Алматы в г. Караганда ТОО,Qural-Saiman,3794.0,GMARKET KZ,4048.0,TaranTool,4068.0,Торговый дом ТИЫН,4330.0,,
https://kaspi.kz/shop/p/denzel-almaznyi-73158-180x25-4-mm-108546614/?c=710000000,108546614,УТ-00001852,DENZEL алмазный 73158 180x25.4 мм,Denzel,Мир инструмента-Алматы в г. Караганда ТОО,ХОЗЯИН,6759.0,Qural-Saiman,8238.0,,,,,,
https://kaspi.kz/shop/p/denzel-almaznyi-73159-200x25-4-mm-108624200/?c=710000000,108624200,УТ-00001853,DENZEL алмазный 73159 200x25.4 мм,Denzel,Мир инструмента-Алматы в г. Караганда ТОО,ХОЗЯИН,7702.0,TaranTool,8257.0,Qural-Saiman,9093.0,GMARKET KZ,12324.0,,
https://kaspi.kz/shop/p/denzel-almaznyi-73160-250x25-4-mm-108546133/?c=710000000,108546133,УТ-00001854,DENZEL алмазный 73160 250x25.4 мм,Denzel,Мир инструмента-Алматы в г. Караганда ТОО,ХОЗЯИН,10986.0,TaranTool,11778.0,Qural-Saiman,12067.0,GMARKET KZ,17579.0,,
https://kaspi.kz/shop/p/denzel-almaznyi-73164-300x25-4-mm-108546620/?c=710000000,108546620,УТ-00001855,DENZEL алмазный 73164 300x25.4 мм,Denzel,Мир инструмента-Алматы в г. Караганда ТОО,ХОЗЯИН,16186.0,Qural-Saiman,17720.0,,,,,,
https://kaspi.kz/shop/p/denzel-nozh-disk-96340-1-sht-103643198/?c=710000000,103643198,00000014247,DENZEL нож/диск 96340 1 шт,Denzel,Мир инструмента-Алматы в г. Караганда ТОО,Сеть магазинов TSSP,1515.0,Qural-Saiman,1525.0,ХОЗЯИН,1575.0,Папа-Карло,1585.0,TaranTool,1709.0
https://kaspi.kz/shop/p/denzel-73398-125x22-100867705/?c=710000000,100867705,00000019911,DENZEL 73398 125x22,Denzel,Мир инструмента-Алматы в г. Караганда ТОО,Сеть магазинов TSSP,3070.0,Qural-Saiman,3080.0,ХОЗЯИН,3086.0,Строймаркет ALTOR,3183.0,GMARKET KZ,3292.0
https://kaspi.kz/shop/p/nasos-pogruzhnoi-denzel-dp1400x-27701288/?c=710000000,27701288,00000014519,Насос погружной DENZEL DP1400X,Denzel,Мир инструмента-Алматы в г. Караганда ТОО,ЭЛЕКТРО,50640.0,МИР ИНСТРУМEНТА,51820.0,МИР-инструментов,55000.0,ХОЗЯИН,55000.0,GMARKET KZ,55000.0
https://kaspi.kz/shop/p/nasos-pogruzhnoi-denzel-dp500e-27700799/?c=710000000,27700799,00000014509,Насос погружной DENZEL DP500E,Denzel,Мир инструмента-Алматы в г. Караганда ТОО,МИР ИНСТРУМEНТА,30350.0,МИР-инструментов,32220.0,ХОЗЯИН,32220.0,GMARKET KZ,32220.0,Qural-Saiman,32220.0
https://kaspi.kz/shop/p/nasos-pogruzhnoi-denzel-dph950-27700781/?c=710000000,27700781,00000014518,Насос погружной DENZEL DPХ950,Denzel,Мир инструмента-Алматы в г. Караганда ТОО,МИР-инструментов,36800.0,ЭЛЕКТРО,36800.0,ХОЗЯИН,39980.0,Qural-Saiman,39980.0,Комфорт,39980.0
https://kaspi.kz/shop/p/kanistra-vertikal-naja-denzel-53129-zheltaja-10-l-100429836/?c=710000000,100429836,00000016480,Канистра вертикальная DENZEL 53129 желтая 10 л,Denzel,Мир инструмента-Алматы в г. Караганда ТОО,ХОЗЯИН,4465.0,GMARKET KZ,4763.0,TaranTool,4787.0,Торговый дом ТИЫН,5095.0,Сеть магазинов TSSP,5490.0
https://kaspi.kz/shop/p/kanistra-vertikal-naja-denzel-53131-zheltaja-20-l-100429928/?c=710000000,100429928,00000016481,Канистра вертикальная DENZEL 53131 желтая 20 л,Denzel,Мир инструмента-Алматы в г. Караганда ТОО,Строймаркет ALTOR,6622.0,ХОЗЯИН,7346.0,GMARKET KZ,7836.0,TaranTool,7875.0,Qural-Saiman,8076.0
https://kaspi.kz/shop/p/denzel-tel-fer-do-1-t-52009-103555258/?c=710000000,103555258,00000014611,"DENZEL тельфер до 1 т, 52009",Denzel,Мир инструмента-Алматы в г. Караганда ТОО,All Stroy,67360.0,Qural-Saiman,73170.0,,,,,,
https://kaspi.kz/shop/p/denzel-katushka-s-leskoi-96369-1-sht-103905626/?c=710000000,103905626,00000063924,DENZEL катушка с леской 96369 1 шт,Denzel,Мир инструмента-Алматы в г. Караганда ТОО,Qural-Saiman,2294.0,ХОЗЯИН,2370.0,GMARKET KZ,2528.0,,,,
https://kaspi.kz/shop/p/denzel-katushka-s-leskoi-96358-1-sht-103905612/?c=710000000,103905612,00000014260,DENZEL катушка с леской 96358 1 шт,Denzel,Мир инструмента-Алматы в г. Караганда ТОО,ХОЗЯИН,2309.0,Qural-Saiman,3558.0,Проф Инструмент,3900.0,,,,
https://kaspi.kz/shop/p/denzel-katushka-s-leskoi-96363-1-sht-103905620/?c=710000000,103905620,00000014263,DENZEL катушка с леской 96363 1 шт,Denzel,Мир инструмента-Алматы в г. Караганда ТОО,Qural-Saiman,2490.0,ХОЗЯИН,2573.0,GMARKET KZ,2745.0,TaranTool,2759.0,Торговый дом ТИЫН,4216.0
